popularity,budget,revenue,original_title,director,genres,production_companies,release_date,release_year
32.985763,150000000,1513528810,Jurassic World,Colin Trevorrow,Action|Adventure|Science Fiction|Thriller,Universal Studios|Amblin Entertainment|Legendary Pictures|Fuji Television Network|Dentsu,6/9/15,2015
28.419936,150000000,378436354,Mad Max: Fury Road,George Miller,Action|Adventure|Science Fiction|Thriller,Village Roadshow Pictures|Kennedy Miller Productions,5/13/15,2015
13.112507,110000000,295238201,Insurgent,Robert Schwentke,Adventure|Science Fiction|Thriller,Summit Entertainment|Mandeville Films|Red Wagon Entertainment|NeoReel,3/18/15,2015
11.173104,200000000,2068178225,Star Wars: The Force Awakens,J.J. Abrams,Action|Adventure|Science Fiction|Fantasy,Lucasfilm|Truenorth Productions|Bad Robot,12/15/15,2015
9.335014,190000000,1506249360,Furious 7,James Wan,Action|Crime|Thriller,Universal Pictures|Original Film|Media Rights Capital|Dentsu|One Race Films,4/1/15,2015
9.1107,135000000,532950503,The Revenant,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,Western|Drama|Adventure|Thriller,Regency Enterprises|Appian Way|CatchPlay|Anonymous Content|New Regency Pictures,12/25/15,2015
8.654359,155000000,440603537,Terminator Genisys,Alan Taylor,Science Fiction|Action|Thriller|Adventure,Paramount Pictures|Skydance Productions,6/23/15,2015
7.6674,108000000,595380321,The Martian,Ridley Scott,Drama|Adventure|Science Fiction,Twentieth Century Fox Film Corporation|Scott Free Productions|Mid Atlantic Films|International Traders|TSG Entertainment,9/30/15,2015
7.404165,74000000,1156730962,Minions,Kyle Balda|Pierre Coffin,Family|Animation|Adventure|Comedy,Universal Pictures|Illumination Entertainment,6/17/15,2015
6.326804,175000000,853708609,Inside Out,Pete Docter,Comedy|Animation|Family,Walt Disney Pictures|Pixar Animation Studios|Walt Disney Studios Motion Pictures,6/9/15,2015
6.200282,245000000,880674609,Spectre,Sam Mendes,Action|Adventure|Crime,Columbia Pictures|Danjaq|B24,10/26/15,2015
6.189369,176000003,183987723,Jupiter Ascending,Lana Wachowski|Lilly Wachowski,Science Fiction|Fantasy|Action|Adventure,Village Roadshow Pictures|Dune Entertainment|Anarchos Productions|Warner Bros.,2/4/15,2015
6.118847,15000000,36869414,Ex Machina,Alex Garland,Drama|Science Fiction,DNA Films|Universal Pictures International (UPI)|Film4,1/21/15,2015
5.984995,88000000,243637091,Pixels,Chris Columbus,Action|Comedy|Science Fiction,Columbia Pictures|Happy Madison Productions,7/16/15,2015
5.944927,280000000,1405035767,Avengers: Age of Ultron,Joss Whedon,Action|Adventure|Science Fiction,Marvel Studios|Prime Focus|Revolution Sun Studios,4/22/15,2015
5.8984,44000000,155760117,The Hateful Eight,Quentin Tarantino,Crime|Drama|Mystery|Western,Double Feature Films|The Weinstein Company|FilmColony,12/25/15,2015
5.749758,48000000,325771424,Taken 3,Olivier Megaton,Crime|Action|Thriller,Twentieth Century Fox Film Corporation|M6 Films|Canal+|EuropaCorp|CinÃ©+,1/1/15,2015
5.573184,130000000,518602163,Ant-Man,Peyton Reed,Science Fiction|Action|Adventure,Marvel Studios,7/14/15,2015
5.556818,95000000,542351353,Cinderella,Kenneth Branagh,Romance|Fantasy|Family|Drama,Walt Disney Pictures|Genre Films|Beagle Pug Films|Allison Shearmur Productions,3/12/15,2015
5.476958,160000000,650523427,The Hunger Games: Mockingjay - Part 2,Francis Lawrence,War|Adventure|Science Fiction,Studio Babelsberg|StudioCanal|Lionsgate|Walt Disney Studios Motion Pictures|Color Force,11/18/15,2015
5.462138,190000000,209035668,Tomorrowland,Brad Bird,Action|Family|Science Fiction|Adventure|Mystery,Walt Disney Pictures|Babieka|A113,5/19/15,2015
5.337064,30000000,91709827,Southpaw,Antoine Fuqua,Action|Drama,Escape Artists|Riche-Ludwig Productions,6/15/15,2015
4.907832,110000000,470490832,San Andreas,Brad Peyton,Action|Drama|Thriller,New Line Cinema|Village Roadshow Pictures|Warner Bros.|Flynn Picture Company,5/27/15,2015
4.710402,40000000,569651467,Fifty Shades of Grey,Sam Taylor-Johnson,Drama|Romance,Focus Features|Trigger Street Productions|Michael De Luca Productions,2/11/15,2015
4.648046,28000000,133346506,The Big Short,Adam McKay,Comedy|Drama,Paramount Pictures|Plan B Entertainment|Regency Enterprises,12/11/15,2015
4.566713,150000000,682330139,Mission: Impossible - Rogue Nation,Christopher McQuarrie,Action,Paramount Pictures|Skydance Productions|China Movie Channel|Bad Robot|TC Productions,7/23/15,2015
4.564549,68000000,215863606,Ted 2,Seth MacFarlane,Comedy,Universal Pictures|Media Rights Capital|Fuzzy Door Productions,6/25/15,2015
4.503789,81000000,403802136,Kingsman: The Secret Service,Matthew Vaughn,Crime|Comedy|Action|Adventure,Twentieth Century Fox Film Corporation|Marv Films|TSG Entertainment|Cloudy Productions,1/24/15,2015
4.062293,20000000,88346473,Spotlight,Tom McCarthy,Drama|Thriller|History,Participant Media|Open Road Films|Anonymous Content|Rocklin / Faust|Entertainment One Features,11/6/15,2015
3.968891,61000000,311256926,Maze Runner: The Scorch Trials,Wes Ball,Action|Science Fiction|Thriller,Gotham Group|Temple Hill Entertainment|TSG Entertainment,9/9/15,2015
